comment_id,content,date,link,user_id,name,label
6fea97409018f7b2d11ba007dcc1e7cb,Tmm da bize ne anlattıklarından ,2022-02-01 00:02:27,http://tr.investing.com/equities/esenboga-elektrik-uretim-as-commentary?comment=129342316&reply=129347532,212894941,Ercan Tekdemir,
77a42cb2a68d9c7a600c3f663130cc57,Selam,2022-02-01 00:02:27,http://tr.investing.com/equities/escort-teknoloji-commentary?comment=129347459,235339481,Yusuf Kaya,
5091dcb57043a91cc63b9de138b4a783,inşallah iyi şeyler olacak beraber kazanacağız ,2022-02-01 00:02:31,http://tr.investing.com/equities/teknosa-ic-ve-dis-ticaret-as-commentary?comment=129347450,233754355,Rıfat Yaman,
745649bc50e4baefecaa5389f4267daa,özlem bitti,2022-02-01 00:02:40,http://tr.investing.com/equities/arcelik-commentary?comment=129347700,232843028,Ramazan BOZKURT,
ef20f199b198725fd0f32c4932f2f580,"Arkadaşlar bu gün sadece Tacirler 4 Milyon kılçıksız aldı ve 1,7 milyon alıcılı kapattı. Kararınızı kendiniz verin. ",2022-02-01 00:02:41,http://tr.investing.com/equities/vakif-fin.-kir.-commentary?comment=129347563,211603656,Vural Sarı,
665d0c68c0f536fa143c06a8703ae261,Grafiğe ve şuanki duruma bakarsak soluksuz 2 liraları görmemiz lazım hadi hayırlısı YTD,2022-02-01 00:02:47,http://tr.investing.com/equities/akis-gayrimenkul-yatirimi-as-commentary?comment=129347210,234226255,Okan Okan,
31b012b97af3c6a8b2f0c4ceb25a6ac8,satmadım kardeşim ben polyanacılık oynamam bildiğimi konuşurum. Hiçbirinizin kötülüğünü istemiyorum. Çağrı meselesi olabilir diye doğru düzgün trade bile edemiyorduk her an çağrı gelebilir diye. Artık bumesele kapandığı için 1 lira altı maliyetim var her verden vurur çıkarım,2022-02-01 00:02:56,http://tr.investing.com/equities/hurriyet-gzt.-commentary?comment=129337454&reply=129347507,211019590,Baba Yorgun,
eb4b517fcd0400d90aa6bd5cc6619b21,Rahat rahat uyuyun ve beni izlemeye devam edin...,2022-02-01 00:02:58,http://tr.investing.com/equities/denge-yatirim-holding-as-commentary?comment=129347515,234937999,Erdem Reis,
9bf3963cb7656cc63cf2f6e65f072f86,özlem bitti,2022-02-01 00:03:04,http://tr.investing.com/equities/aydem-yenilenebilir-enerji-as-commentary?comment=129347712,232843028,Ramazan BOZKURT,
b6d4d395fb42d9f6cb5ff355f4aef32b,İnş 42 kadar çıktı kalıcı olmalı yoksa al satcılar bitmeyecek,2022-02-01 00:03:04,http://tr.investing.com/equities/mia-teknoloji-as-commentary?comment=129345548&reply=129347418,223738095,Umut Özgülberber,
