tweet_id,followers,date,message_detail,retweet_count,username,label;;
1488255906580250629,2,2022-02-01 00:00:33,@traderAkin #oylum da bekliyor herkes sizi.,0,nsjsbjsvdhk,;;
1488255936468824064,11,2022-02-01 00:00:40,@mereravings La Casa Da Papel'e kadar biraz umutluydum,0,_roquentinnn,;;
1488255950716870663,556,2022-02-01 00:00:43,RT @fintables: $GRNYO 2021/12 finansal tabloları açıklandı.    Detaylı analiz için: https://t.co/1q3ncv8aMq #GRNYO https://t.co/6XE0MnwGaO,0,Natural_Travel5,;;
1488255953187315713,0,2022-02-01 00:00:44,RT @TheLaikYobaz: Hesabım Kılıçdaroğlu’nun hedef göstermesi sonucu ılık solcular tarafından yoğun bir saldırı altında.  Sizden isteğim bu tweetin altına nokta dahi olsa yorum yapıp bu tweeti elden ele yaymanız...,0,PonceDeLeoN_54,;;
"1488255951715160073,44,2022-02-01 00:00:44,""RT @slot_media: Alkol ve tütün mamullerine gelen son zamlar, kimilerine göre toplum sağlığına yönelik tehdit kimilerine göre yaşam tarzına müdahale... Yeni belgeselimiz """"La Casa De Tekel"""" yakında Slot, Youtube kanalında yayında!  @ozanbingoll  @AybasOzgur https://t.co/MQUXxf9wNK"",0,Majeste76706465,";;
1488255970039980032,3271,2022-02-01 00:00:48,RT @sinemis1212: Kılıçdaroğlu Hedef gösterirse bizede destek olmak düşer Arkadaşlar bol bol rt faw desteği verelim !  @TheLaikYobaz @medyaadami @themarginale,0,Genosman1453,;;
1488255978340499456,22,2022-02-01 00:00:50,RT @2023Gazetesi: Detaylar: https://t.co/sUxUQcoJNg ODAK2023’E YOĞUN İLGİ Yarı yıl tatilinde başarılı öğrencilere hediye edilen Odak2023 programı tüm yurtta olduğu gibi Hatay’da da yoğun ilgi gördü. @ISMAIL_SARAC @ayyildirim1 @AlihanDoner @mrt_adal @timurrsasmaz @ibrahimgulMHP @lutfikasikci https://t.co/2BsKlytPsP,0,SBugdaycigil,;;
"1488255988872458241,2384,2022-02-01 00:00:52,""RT @osmanllocaklari: Ocak Partisi Basın Sözcüsü Tekerek: “Yeni kurulan @OcakPartisi ni, @devapartisi ve @GelecekPartiTR nin hedef almalarından bahisle, siyasi kaygı ve endişelendiklerini görüyoruz.  Fetö Partisi, pkk Partisi ve Bölücü Partilerle Demokrasi Mücadelemiz Devam Edecek.”"",0,mualliminn,";;
"1488255990256517123,18,2022-02-01 00:00:53,""RT @ykayav: Vestel Beyaz Eşya $Vesbe  Üretim ve satış adetlerini kullanarak makine başına ciro hesaplamaya çalıştım. Üretim kapasitesi, kapasite kullanım oranı ve bir önceki yıla göre üretim artışı faaliyet raporlarında mevcut fakat adetler net olarak belirtilmemiş.  Bilgisi olan var mı? https://t.co/VHZtyKYSwv"",0,maxdss1,";;
1488255989480628224,361,2022-02-01 00:00:53,RT @spor_smart: D Smart'ta yayınlanan Bol'ca Futbol'un bu haftaki konuğu Hakan Ural. Bol'ca Futbol'da @emrekbol un yorumları ve @nergisaskinn 'ın sunumu ve Hakan Ural'ın çarpıcı yorumlarını saat 20:00'den itibaren Spor Smart'ta izleyebilirsiniz. https://t.co/My68p5ynuk,0,Necla57960070,;;
"1488256002453553152,414,2022-02-01 00:00:56,""RT @slot_media: Alkol ve tütün mamullerine gelen son zamlar, kimilerine göre toplum sağlığına yönelik tehdit kimilerine göre yaşam tarzına müdahale... Yeni belgeselimiz """"La Casa De Tekel"""" yakında Slot, Youtube kanalında yayında!  @ozanbingoll  @AybasOzgur https://t.co/MQUXxf9wNK"",0,mertkandemir05,";;
1488256003636445186,237,2022-02-01 00:00:56,Mazi'den Ati'ye Hedef Güçlü Türkiye - Mazi'den Ati'ye Hedef Güçlü Türkiye https://t.co/BEsvlUCh9H  @turgaysengonul,4,FilizYavuzkurt,;;
